NOME_ORIGEM,NOME_DEST,flowOD,flowDO,Dist,COD_ORIGEM,COD_DESTINO
Alachua,Baker,138,26,1,1,3
Alachua,Bay,496,155,1,1,5
Alachua,Bradford,129,77,1,1,7
Alachua,Brevard,357,880,1,1,9
Alachua,Broward,1006,1938,1,1,11
Alachua,Calhoun,5,0,1,1,13
Alachua,Charlotte,26,59,1,1,15
Alachua,Citrus,108,223,1,1,17
Alachua,Clay,214,281,1,1,19
Alachua,Collier,172,240,1,1,21
Alachua,Columbia,511,516,1,1,23
Alachua,Desoto,0,11,1,1,27
Alachua,Dixie,0,14,1,1,29
Alachua,Duval,1040,983,1,1,31
Alachua,Escambia,68,460,1,1,33
Alachua,Flagler,21,57,1,1,35
Alachua,Franklin,47,36,1,1,37
Alachua,Gadsden,18,11,1,1,39
Alachua,Gilchrist,141,211,1,1,41
Alachua,Gulf,28,5,1,1,45
Alachua,Hamilton,12,17,1,1,47
Alachua,Hardee,0,104,1,1,49
Alachua,Hendry,18,8,1,1,51
Alachua,Hernando,108,130,1,1,53
Alachua,Highlands,43,13,1,1,55
Alachua,Hillsborough,1058,1316,1,1,57
Alachua,Holmes,36,9,1,1,59
Alachua,Indian River,41,74,1,1,61
Alachua,Jackson,68,50,1,1,63
Alachua,Jefferson,13,0,1,1,65
Alachua,Lafayette,0,10,1,1,67
Alachua,Lake,119,126,1,1,69
Alachua,Lee,236,397,1,1,71
Alachua,Leon,567,448,1,1,73
Alachua,Levy,483,313,1,1,75
Alachua,Madison,2,0,1,1,79
Alachua,Manatee,248,187,1,1,81
Alachua,Marion,482,1026,1,1,83
Alachua,Martin,29,297,1,1,85
Alachua,Miami-Dade,686,1390,1,1,86
Alachua,Monroe,236,136,1,1,87
Alachua,Nassau,68,72,1,1,89
Alachua,Okaloosa,26,111,1,1,91
Alachua,Okeechobee,0,13,1,1,93
Alachua,Orange,958,977,1,1,95
Alachua,Osceola,25,173,1,1,97
Alachua,Palm Beach,345,1377,1,1,99
Alachua,Pasco,111,324,1,1,101
Alachua,Pinellas,613,619,1,1,103
Alachua,Polk,186,261,1,1,105
Alachua,Putnam,343,309,1,1,107
Alachua,St. Johns,677,307,1,1,109
Alachua,St. Lucie,78,107,1,1,111
Alachua,Santa Rosa,35,95,1,1,113
Alachua,Sarasota,231,391,1,1,115
Alachua,Seminole,126,372,1,1,117
Alachua,Sumter,21,33,1,1,119
Alachua,Suwannee,7,130,1,1,121
Alachua,Taylor,37,0,1,1,123
Alachua,Union,73,122,1,1,125
Alachua,Volusia,255,474,1,1,127
Alachua,Wakulla,28,0,1,1,129
Alachua,Walton,40,16,1,1,131
Alachua,Washington,0,43,1,1,133
Baker,Alachua,26,138,1,3,1
Baker,Bay,105,3,1,3,5
Baker,Bradford,43,23,1,3,7
Baker,Brevard,0,21,1,3,9
Baker,Broward,0,39,1,3,11
Baker,Calhoun,0,24,1,3,13
Baker,Charlotte,10,0,1,3,15
Baker,Clay,14,88,1,3,19
Baker,Collier,36,9,1,3,21
Baker,Columbia,64,11,1,3,23
Baker,Dixie,0,23,1,3,29
Baker,Duval,580,820,1,3,31
Baker,Escambia,0,2,1,3,33
Baker,Flagler,8,0,1,3,35
Baker,Franklin,9,0,1,3,37
Baker,Gulf,0,16,1,3,45
Baker,Hamilton,4,68,1,3,47
Baker,Hardee,7,0,1,3,49
Baker,Hendry,6,0,1,3,51
Baker,Highlands,12,0,1,3,55
Baker,Hillsborough,0,20,1,3,57
Baker,Holmes,0,22,1,3,59
Baker,Jackson,21,4,1,3,63
Baker,Jefferson,0,20,1,3,65
Baker,Lafayette,0,22,1,3,67
Baker,Lake,36,10,1,3,69
Baker,Lee,7,7,1,3,71
Baker,Levy,0,8,1,3,75
Baker,Liberty,0,5,1,3,77
Baker,Madison,0,2,1,3,79
Baker,Marion,10,0,1,3,83
Baker,Miami-Dade,11,2,1,3,86
Baker,Monroe,1,0,1,3,87
Baker,Nassau,3,205,1,3,89
Baker,Okaloosa,0,5,1,3,91
Baker,Orange,14,11,1,3,95
Baker,Osceola,0,8,1,3,97
Baker,Palm Beach,2,15,1,3,99
Baker,Pasco,13,0,1,3,101
Baker,Pinellas,38,0,1,3,103
Baker,Polk,8,4,1,3,105
Baker,Putnam,17,25,1,3,107
Baker,St. Johns,0,54,1,3,109
Baker,Santa Rosa,5,15,1,3,113
Baker,Seminole,108,0,1,3,117
Baker,Suwannee,18,12,1,3,121
Baker,Union,17,140,1,3,125
Baker,Volusia,126,35,1,3,127
Baker,Wakulla,0,53,1,3,129
Baker,Walton,0,3,1,3,131
Bay,Alachua,155,496,1,5,1
Bay,Baker,3,105,1,5,3
Bay,Bradford,8,0,1,5,7
Bay,Brevard,362,179,1,5,9
Bay,Broward,166,119,1,5,11
Bay,Calhoun,114,51,1,5,13
Bay,Charlotte,23,0,1,5,15
Bay,Citrus,25,0,1,5,17
Bay,Clay,31,0,1,5,19
Bay,Columbia,31,35,1,5,23
Bay,Dixie,0,19,1,5,29
Bay,Duval,178,63,1,5,31
Bay,Escambia,478,106,1,5,33
Bay,Franklin,77,23,1,5,37
Bay,Gadsden,37,4,1,5,39
Bay,Gilchrist,31,0,1,5,41
Bay,Glades,9,0,1,5,43
Bay,Gulf,272,149,1,5,45
Bay,Hendry,13,0,1,5,51
Bay,Hernando,8,48,1,5,53
Bay,Highlands,0,7,1,5,55
Bay,Hillsborough,78,192,1,5,57
Bay,Holmes,86,103,1,5,59
Bay,Indian River,9,0,1,5,61
Bay,Jackson,154,335,1,5,63
Bay,Lake,0,64,1,5,69
Bay,Lee,20,0,1,5,71
Bay,Leon,530,143,1,5,73
Bay,Liberty,104,38,1,5,77
Bay,Madison,3,1,1,5,79
Bay,Manatee,0,1,1,5,81
Bay,Marion,42,72,1,5,83
Bay,Martin,0,23,1,5,85
Bay,Miami-Dade,101,62,1,5,85
Bay,Monroe,0,13,1,5,87
Bay,Nassau,34,2,1,5,89
Bay,Okaloosa,293,353,1,5,91
Bay,Okeechobee,0,67,1,5,93
Bay,Orange,167,137,1,5,95
Bay,Osceola,5,0,1,5,97
Bay,Palm Beach,129,54,1,5,99
Bay,Pasco,14,2,1,5,101
Bay,Pinellas,80,103,1,5,103
Bay,Polk,15,70,1,5,105
Bay,St. Lucie,21,21,1,5,111
Bay,Santa Rosa,333,18,1,5,113
Bay,Seminole,0,67,1,5,117
Bay,Sumter,67,0,1,5,119
Bay,Taylor,0,31,1,5,123
Bay,Union,46,0,1,5,125
Bay,Volusia,95,85,1,5,127
Bay,Wakulla,30,56,1,5,129
Bay,Walton,309,186,1,5,131
Bay,Washington,464,449,1,5,133
Bradford,Alachua,77,129,1,7,1
Bradford,Baker,23,43,1,7,3
Bradford,Bay,0,8,1,7,5
Bradford,Brevard,0,4,1,7,9
Bradford,Broward,0,8,1,7,11
Bradford,Calhoun,0,13,1,7,13
Bradford,Charlotte,10,43,1,7,15
Bradford,Clay,75,262,1,7,19
Bradford,Columbia,2,172,1,7,23
Bradford,Desoto,0,21,1,7,27
Bradford,Dixie,0,30,1,7,29
Bradford,Duval,102,300,1,7,31
Bradford,Escambia,14,16,1,7,33
Bradford,Flagler,0,13,1,7,35
Bradford,Franklin,11,8,1,7,37
Bradford,Gilchrist,21,0,1,7,41
Bradford,Gulf,0,54,1,7,45
Bradford,Hamilton,31,69,1,7,47
Bradford,Hardee,0,15,1,7,49
Bradford,Highlands,0,4,1,7,55
Bradford,Hillsborough,0,80,1,7,57
Bradford,Holmes,0,14,1,7,59
Bradford,Indian River,0,9,1,7,61
Bradford,Jackson,0,135,1,7,63
Bradford,Jefferson,10,0,1,7,65
Bradford,Lafayette,0,20,1,7,67
Bradford,Lake,0,10,1,7,69
Bradford,Lee,0,10,1,7,71
Bradford,Leon,8,3,1,7,73
Bradford,Levy,0,9,1,7,75
Bradford,Liberty,0,13,1,7,77
Bradford,Madison,17,7,1,7,79
Bradford,Manatee,37,12,1,7,81
Bradford,Marion,11,12,1,7,83
Bradford,Martin,0,29,1,7,85
Bradford,Miami-Dade,31,112,1,7,86
Bradford,Monroe,0,15,1,7,87
Bradford,Nassau,0,37,1,7,89
Bradford,Okaloosa,0,40,1,7,91
Bradford,Okeechobee,0,9,1,7,93
Bradford,Orange,0,25,1,7,95
Bradford,Osceola,0,9,1,7,97
Bradford,Palm Beach,7,17,1,7,99
Bradford,Pasco,0,32,1,7,101
Bradford,Pinellas,20,29,1,7,103
Bradford,Polk,20,32,1,7,105
Bradford,Putnam,0,13,1,7,107
Bradford,St. Johns,13,31,1,7,109
Bradford,St. Lucie,6,0,1,7,111
Bradford,Santa Rosa,0,23,1,7,113
Bradford,Sarasota,0,12,1,7,115
Bradford,Sumter,31,4,1,7,119
Bradford,Suwannee,1,86,1,7,121
Bradford,Taylor,1,67,1,7,123
Bradford,Union,69,178,1,7,125
Bradford,Volusia,58,17,1,7,127
Bradford,Walton,0,19,1,7,131
Bradford,Washington,0,57,1,7,133
Brevard,Alachua,880,357,1,9,1
Brevard,Baker,21,0,1,9,3
Brevard,Bay,179,362,1,9,5
Brevard,Bradford,4,0,1,9,7
Brevard,Broward,1589,1009,1,9,11
Brevard,Calhoun,24,53,1,9,13
Brevard,Charlotte,39,27,1,9,15
Brevard,Citrus,33,157,1,9,17
Brevard,Clay,73,32,1,9,19
Brevard,Collier,44,59,1,9,21
Brevard,Columbia,254,152,1,9,23
Brevard,Desoto,6,3,1,9,27
Brevard,Dixie,30,1,1,9,29
Brevard,Duval,769,564,1,9,31
Brevard,Escambia,125,103,1,9,33
Brevard,Flagler,46,27,1,9,35
Brevard,Franklin,8,0,1,9,37
Brevard,Gadsden,26,0,1,9,39
Brevard,Gilchrist,54,0,1,9,41
Brevard,Glades,8,0,1,9,43
Brevard,Gulf,62,0,1,9,45
Brevard,Hamilton,41,0,1,9,47
Brevard,Hardee,28,0,1,9,49
Brevard,Hendry,0,7,1,9,51
Brevard,Hernando,32,35,1,9,53
Brevard,Highlands,62,72,1,9,55
Brevard,Hillsborough,982,374,1,9,57
Brevard,Holmes,12,0,1,9,59
Brevard,Indian River,393,495,1,9,61
Brevard,Jackson,22,147,1,9,63
Brevard,Jefferson,15,0,1,9,65
Brevard,Lafayette,12,0,1,9,67
Brevard,Lake,135,117,1,9,69
Brevard,Lee,199,102,1,9,71
Brevard,Leon,369,163,1,9,73
Brevard,Levy,13,0,1,9,75
Brevard,Liberty,3,12,1,9,77
Brevard,Madison,21,6,1,9,79
Brevard,Manatee,168,42,1,9,81
Brevard,Marion,433,99,1,9,83
Brevard,Martin,43,76,1,9,85
Brevard,Miami-Dade,276,421,1,9,86
Brevard,Monroe,10,92,1,9,87
Brevard,Nassau,0,5,1,9,89
Brevard,Okaloosa,98,116,1,9,91
Brevard,Okeechobee,21,6,1,9,93
Brevard,Orange,2366,1598,1,9,95
Brevard,Osceola,238,333,1,9,97
Brevard,Palm Beach,751,444,1,9,99
Brevard,Pasco,33,249,1,9,101
Brevard,Pinellas,191,126,1,9,103
Brevard,Polk,277,243,1,9,105
Brevard,Putnam,33,18,1,9,107
Brevard,St. Johns,370,46,1,9,109
Brevard,St. Lucie,208,436,1,9,111
Brevard,Santa Rosa,23,6,1,9,113
Brevard,Sarasota,59,87,1,9,115
Brevard,Seminole,445,263,1,9,117
Brevard,Sumter,114,91,1,9,119
Brevard,Suwannee,57,0,1,9,121
Brevard,Taylor,61,23,1,9,123
Brevard,Union,20,3,1,9,125
Brevard,Volusia,187,508,1,9,127
Brevard,Wakulla,10,0,1,9,129
Brevard,Walton,0,25,1,9,131
Broward,Alachua,1938,1006,1,11,1
Broward,Baker,39,0,1,11,3
Broward,Bay,119,166,1,11,5
Broward,Bradford,8,0,1,11,7
Broward,Brevard,1009,1589,1,11,9
Broward,Calhoun,66,13,1,11,13
Broward,Charlotte,461,311,1,11,15
Broward,Citrus,118,86,1,11,17
Broward,Clay,405,14,1,11,19
Broward,Collier,229,588,1,11,21
Broward,Columbia,290,43,1,11,23
Broward,Desoto,94,114,1,11,27
Broward,Dixie,94,0,1,11,29
Broward,Duval,1057,231,1,11,31
Broward,Escambia,110,157,1,11,33
Broward,Flagler,519,131,1,11,35
Broward,Franklin,30,0,1,11,37
Broward,Gadsden,60,131,1,11,39
Broward,Gilchrist,109,0,1,11,41
Broward,Glades,91,6,1,11,43
Broward,Gulf,17,0,1,11,45
Broward,Hamilton,43,27,1,11,47
Broward,Hardee,39,3,1,11,49
Broward,Hendry,27,17,1,11,51
Broward,Hernando,161,154,1,11,53
Broward,Highlands,302,150,1,11,55
Broward,Hillsborough,1061,1064,1,11,57
Broward,Holmes,0,18,1,11,59
Broward,Indian River,378,240,1,11,61
Broward,Jackson,68,91,1,11,63
Broward,Jefferson,21,3,1,11,65
Broward,Lafayette,36,20,1,11,67
Broward,Lake,295,189,1,11,69
Broward,Lee,2050,1087,1,11,71
Broward,Leon,1788,581,1,11,73
Broward,Levy,41,12,1,11,75
Broward,Madison,43,0,1,11,79
Broward,Manatee,392,211,1,11,81
Broward,Marion,480,510,1,11,83
Broward,Martin,383,198,1,11,85
Broward,Miami-Dade,10762,24200,1,11,86
Broward,Monroe,279,50,1,11,87
Broward,Okaloosa,95,178,1,11,91
Broward,Okeechobee,47,45,1,11,93
Broward,Orange,3432,2214,1,11,95
Broward,Osceola,252,607,1,11,97
Broward,Palm Beach,9756,8486,1,11,99
Broward,Pasco,111,57,1,11,101
Broward,Pinellas,319,934,1,11,103
Broward,Polk,347,104,1,11,105
Broward,Putnam,66,2,1,11,107
Broward,St. Johns,520,115,1,11,109
Broward,St. Lucie,1260,585,1,11,111
Broward,Santa Rosa,41,273,1,11,113
Broward,Sarasota,357,196,1,11,115
Broward,Seminole,309,234,1,11,117
Broward,Sumter,205,2,1,11,119
Broward,Suwannee,15,52,1,11,121
Broward,Taylor,71,0,1,11,123
Broward,Union,27,0,1,11,125
Broward,Volusia,768,365,1,11,127
Broward,Wakulla,34,7,1,11,129
Broward,Walton,19,34,1,11,131
Broward,Washington,10,0,1,11,133
Calhoun,Alachua,0,5,1,13,1
Calhoun,Baker,24,0,1,13,3
Calhoun,Bay,51,114,1,13,5
Calhoun,Bradford,13,0,1,13,7
Calhoun,Brevard,53,24,1,13,9
Calhoun,Broward,13,66,1,13,11
Calhoun,Citrus,69,8,1,13,17
Calhoun,Collier,0,27,1,13,21
Calhoun,Columbia,58,0,1,13,23
Calhoun,Duval,21,33,1,13,31
Calhoun,Escambia,27,0,1,13,33
Calhoun,Flagler,0,14,1,13,35
Calhoun,Franklin,0,10,1,13,37
Calhoun,Gadsden,31,40,1,13,39
Calhoun,Gulf,117,9,1,13,45
Calhoun,Hamilton,10,0,1,13,47
Calhoun,Hendry,6,0,1,13,51
Calhoun,Hillsborough,15,53,1,13,57
Calhoun,Jackson,52,81,1,13,63
Calhoun,Jefferson,15,0,1,13,65
Calhoun,Lafayette,0,18,1,13,67
Calhoun,Lake,12,0,1,13,69
Calhoun,Lee,0,66,1,13,71
Calhoun,Leon,0,66,1,13,73
Calhoun,Liberty,102,42,1,13,77
Calhoun,Madison,0,4,1,13,79
Calhoun,Marion,0,10,1,13,83
Calhoun,Miami-Dade,51,65,1,13,86
Calhoun,Nassau,0,8,1,13,89
Calhoun,Okeechobee,0,9,1,13,93
Calhoun,Orange,0,26,1,13,95
Calhoun,Osceola,0,10,1,13,97
Calhoun,Palm Beach,0,13,1,13,99
Calhoun,Pasco,0,2,1,13,101
Calhoun,Pinellas,18,4,1,13,103
Calhoun,Polk,11,10,1,13,105
Calhoun,Putnam,17,0,1,13,107
Calhoun,Santa Rosa,3,0,1,13,113
Calhoun,Sarasota,0,1,1,13,115
Calhoun,Suwannee,0,3,1,13,121
Calhoun,Taylor,15,2,1,13,123
Calhoun,Union,10,0,1,13,125
Calhoun,Volusia,0,23,1,13,127
Calhoun,Wakulla,50,20,1,13,129
Calhoun,Walton,17,0,1,13,131
Calhoun,Washington,49,0,1,13,133
Charlotte,Alachua,59,26,1,15,1
Charlotte,Baker,0,10,1,15,3
Charlotte,Bay,0,23,1,15,5
Charlotte,Bradford,43,10,1,15,7
Charlotte,Brevard,27,39,1,15,9
Charlotte,Broward,311,461,1,15,11
Charlotte,Citrus,1,0,1,15,17
Charlotte,Clay,70,0,1,15,19
Charlotte,Collier,152,225,1,15,21
Charlotte,Columbia,39,26,1,15,23
Charlotte,Desoto,355,130,1,15,27
Charlotte,Dixie,1,209,1,15,29
Charlotte,Duval,7,226,1,15,31
Charlotte,Escambia,0,7,1,15,33
Charlotte,Franklin,0,15,1,15,37
Charlotte,Glades,0,13,1,15,43
Charlotte,Gulf,3,0,1,15,45
Charlotte,Hamilton,22,12,1,15,47
Charlotte,Hendry,38,8,1,15,51
Charlotte,Hernando,18,76,1,15,53
Charlotte,Highlands,0,39,1,15,55
Charlotte,Hillsborough,158,132,1,15,57
Charlotte,Indian River,26,0,1,15,61
Charlotte,Jackson,18,0,1,15,63
Charlotte,Jefferson,7,0,1,15,65
Charlotte,Lafayette,9,0,1,15,67
Charlotte,Lake,49,21,1,15,69
Charlotte,Lee,790,878,1,15,71
Charlotte,Leon,102,23,1,15,73
Charlotte,Manatee,172,115,1,15,81
Charlotte,Marion,20,36,1,15,83
Charlotte,Miami-Dade,215,233,1,15,86
Charlotte,Nassau,45,7,1,15,89
Charlotte,Okaloosa,0,1,1,15,91
Charlotte,Okeechobee,14,0,1,15,93
Charlotte,Orange,230,229,1,15,95
Charlotte,Osceola,0,8,1,15,97
Charlotte,Palm Beach,47,85,1,15,99
Charlotte,Pasco,57,24,1,15,101
Charlotte,Pinellas,110,65,1,15,103
Charlotte,Polk,64,217,1,15,105
Charlotte,Putnam,26,0,1,15,107
Charlotte,St. Johns,0,75,1,15,109
Charlotte,St. Lucie,809,4,1,15,111
Charlotte,Santa Rosa,11,0,1,15,113
Charlotte,Sarasota,2615,1932,1,15,115
Charlotte,Seminole,54,56,1,15,117
Charlotte,Sumter,55,37,1,15,119
Charlotte,Suwannee,4,14,1,15,121
Charlotte,Union,44,5,1,15,125
Charlotte,Volusia,54,157,1,15,127
Charlotte,Wakulla,24,14,1,15,129
Charlotte,Walton,0,3,1,15,131
Citrus,Alachua,223,108,1,17,1
Citrus,Bay,0,25,1,17,5
Citrus,Brevard,157,33,1,17,9
Citrus,Broward,86,118,1,17,11
Citrus,Calhoun,8,69,1,17,13
Citrus,Charlotte,0,1,1,17,15
Citrus,Clay,37,0,1,17,19
Citrus,Collier,7,0,1,17,21
Citrus,Columbia,72,186,1,17,23
Citrus,Dixie,22,0,1,17,29
Citrus,Duval,38,0,1,17,31
Citrus,Escambia,42,7,1,17,33
Citrus,Flagler,23,0,1,17,35
Citrus,Franklin,16,0,1,17,37
Citrus,Gadsden,0,1,1,17,39
Citrus,Gilchrist,3,0,1,17,41
Citrus,Hamilton,44,15,1,17,47
Citrus,Hernando,455,437,1,17,53
Citrus,Highlands,60,0,1,17,55
Citrus,Hillsborough,245,251,1,17,57
Citrus,Holmes,9,0,1,17,59
Citrus,Indian River,8,70,1,17,61
Citrus,Jackson,105,0,1,17,63
Citrus,Jefferson,32,0,1,17,65
Citrus,Lake,147,300,1,17,69
Citrus,Lee,36,20,1,17,71
Citrus,Leon,95,27,1,17,73
Citrus,Levy,173,222,1,17,75
Citrus,Liberty,25,17,1,17,77
Citrus,Madison,14,0,1,17,79
Citrus,Manatee,42,34,1,17,81
Citrus,Marion,1426,301,1,17,83
Citrus,Miami-Dade,129,80,1,17,86
Citrus,Okaloosa,8,0,1,17,91
Citrus,Orange,188,121,1,17,95
Citrus,Osceola,0,7,1,17,97
Citrus,Palm Beach,163,119,1,17,99
Citrus,Pasco,80,264,1,17,101
Citrus,Pinellas,388,171,1,17,103
Citrus,Polk,124,67,1,17,105
Citrus,Putnam,15,0,1,17,107
Citrus,St. Lucie,5,0,1,17,111
Citrus,Santa Rosa,38,0,1,17,113
Citrus,Sarasota,22,56,1,17,115
Citrus,Seminole,34,25,1,17,117
Citrus,Sumter,126,573,1,17,119
Citrus,Suwannee,0,45,1,17,121
Citrus,Taylor,33,0,1,17,123
Citrus,Union,1,0,1,17,125
Citrus,Volusia,125,1,1,17,127
Citrus,Walton,24,0,1,17,131
Citrus,Washington,16,0,1,17,133
Clay,Alachua,281,214,1,19,1
Clay,Baker,88,14,1,19,3
Clay,Bay,0,31,1,19,5
Clay,Bradford,262,75,1,19,7
Clay,Brevard,32,73,1,19,9
Clay,Broward,14,405,1,19,11
Clay,Charlotte,0,70,1,19,15
Clay,Citrus,0,37,1,19,17
Clay,Collier,101,41,1,19,21
Clay,Columbia,29,134,1,19,23
Clay,Desoto,0,23,1,19,27
Clay,Duval,4701,6972,1,19,31
Clay,Escambia,9,40,1,19,33
Clay,Flagler,43,84,1,19,35
Clay,Franklin,3,0,1,19,37
Clay,Gadsden,10,7,1,19,39
Clay,Gilchrist,0,43,1,19,41
Clay,Hamilton,10,0,1,19,47
Clay,Hendry,0,11,1,19,51
Clay,Hernando,266,0,1,19,53
Clay,Hillsborough,393,13,1,19,57
Clay,Holmes,7,0,1,19,59
Clay,Indian River,0,13,1,19,61
Clay,Jackson,19,0,1,19,63
Clay,Lafayette,4,0,1,19,67
Clay,Lake,83,36,1,19,69
Clay,Lee,90,11,1,19,71
Clay,Leon,249,210,1,19,73
Clay,Levy,0,6,1,19,75
Clay,Manatee,7,0,1,19,81
Clay,Marion,118,38,1,19,83
Clay,Martin,11,0,1,19,85
Clay,Miami-Dade,13,383,1,19,86
Clay,Monroe,10,0,1,19,87
Clay,Nassau,126,64,1,19,89
Clay,Okaloosa,0,2,1,19,91
Clay,Orange,153,105,1,19,95
Clay,Osceola,76,0,1,19,97
Clay,Palm Beach,79,21,1,19,99
Clay,Pasco,95,20,1,19,101
Clay,Pinellas,0,210,1,19,103
Clay,Polk,61,0,1,19,105
Clay,Putnam,51,358,1,19,107
Clay,St. Johns,179,223,1,19,109
Clay,St. Lucie,5,0,1,19,111
Clay,Santa Rosa,7,0,1,19,113
Clay,Sarasota,0,21,1,19,115
Clay,Seminole,79,0,1,19,117
Clay,Sumter,0,44,1,19,119
Clay,Suwannee,23,2,1,19,121
Clay,Union,88,29,1,19,125
Clay,Volusia,3,100,1,19,127
Clay,Wakulla,11,0,1,19,129
Collier,Alachua,240,172,1,21,1
Collier,Baker,9,36,1,21,3
Collier,Brevard,59,44,1,21,9
Collier,Broward,588,229,1,21,11
Collier,Calhoun,27,0,1,21,13
Collier,Charlotte,225,152,1,21,15
Collier,Citrus,0,7,1,21,17
Collier,Clay,41,101,1,21,19
Collier,Columbia,153,180,1,21,23
Collier,Desoto,28,0,1,21,27
Collier,Duval,607,348,1,21,31
Collier,Escambia,47,218,1,21,33
Collier,Gadsden,3,0,1,21,39
Collier,Gilchrist,1,0,1,21,41
Collier,Glades,53,165,1,21,43
Collier,Hardee,11,0,1,21,49
Collier,Hendry,6,6,1,21,51
Collier,Hernando,87,0,1,21,53
Collier,Highlands,48,132,1,21,55
Collier,Hillsborough,357,148,1,21,57
Collier,Indian River,108,11,1,21,61
Collier,Jackson,19,0,1,21,63
Collier,Jefferson,0,53,1,21,65
Collier,Lake,11,12,1,21,69
Collier,Lee,3688,1864,1,21,71
Collier,Leon,160,321,1,21,73
Collier,Levy,20,72,1,21,75
Collier,Liberty,3,0,1,21,77
Collier,Manatee,127,37,1,21,81
Collier,Marion,73,25,1,21,83
Collier,Martin,196,0,1,21,85
Collier,Miami-Dade,438,1412,1,21,86
Collier,Monroe,6,14,1,21,87
Collier,Nassau,0,61,1,21,89
Collier,Okaloosa,23,0,1,21,91
Collier,Orange,400,224,1,21,95
Collier,Osceola,111,0,1,21,97
Collier,Palm Beach,222,475,1,21,99
Collier,Pasco,47,53,1,21,101
Collier,Pinellas,105,66,1,21,103
Collier,Polk,69,124,1,21,105
Collier,St. Johns,46,81,1,21,109
Collier,St. Lucie,2,103,1,21,111
Collier,Santa Rosa,3,0,1,21,113
Collier,Sarasota,81,97,1,21,115
Collier,Seminole,154,9,1,21,117
Collier,Sumter,56,158,1,21,119
Collier,Union,18,0,1,21,125
Collier,Volusia,49,14,1,21,127
Collier,Wakulla,15,0,1,21,129
Collier,Walton,68,0,1,21,131
Collier,Washington,0,8,1,21,133
Columbia,Alachua,516,511,1,23,1
Columbia,Baker,11,64,1,23,3
Columbia,Bay,35,31,1,23,5
Columbia,Bradford,172,2,1,23,7
Columbia,Brevard,152,254,1,23,9
Columbia,Broward,43,290,1,23,11
Columbia,Calhoun,0,58,1,23,13
Columbia,Charlotte,26,39,1,23,15
Columbia,Citrus,186,72,1,23,17
Columbia,Clay,134,29,1,23,19
Columbia,Collier,180,153,1,23,21
Columbia,Desoto,38,32,1,23,27
Columbia,Dixie,17,86,1,23,29
Columbia,Duval,400,146,1,23,31
Columbia,Escambia,21,4,1,23,33
Columbia,Flagler,58,12,1,23,35
Columbia,Franklin,17,13,1,23,37
Columbia,Gadsden,56,109,1,23,39
Columbia,Gilchrist,76,18,1,23,41
Columbia,Gulf,0,31,1,23,45
Columbia,Hamilton,230,112,1,23,47
Columbia,Hardee,43,0,1,23,49
Columbia,Hernando,16,29,1,23,53
Columbia,Highlands,0,54,1,23,55
Columbia,Hillsborough,75,104,1,23,57
Columbia,Indian River,0,26,1,23,61
Columbia,Jackson,51,7,1,23,63
Columbia,Jefferson,12,0,1,23,65
Columbia,Lafayette,14,49,1,23,67
Columbia,Lake,20,9,1,23,69
Columbia,Lee,83,79,1,23,71
Columbia,Leon,129,34,1,23,73
Columbia,Madison,20,10,1,23,79
Columbia,Manatee,1,34,1,23,81
Columbia,Marion,69,89,1,23,83
Columbia,Martin,65,8,1,23,85
Columbia,Miami-Dade,234,316,1,23,86
Columbia,Nassau,16,8,1,23,89
Columbia,Okaloosa,0,56,1,23,91
Columbia,Okeechobee,11,20,1,23,93
Columbia,Orange,30,58,1,23,95
Columbia,Osceola,11,0,1,23,97
Columbia,Palm Beach,44,41,1,23,99
Columbia,Pasco,27,94,1,23,101
Columbia,Pinellas,66,3,1,23,103
Columbia,Polk,35,458,1,23,105
Columbia,Putnam,46,4,1,23,107
Columbia,St. Johns,38,0,1,23,109
Columbia,St. Lucie,33,7,1,23,111
Columbia,Santa Rosa,93,10,1,23,113
Columbia,Sarasota,0,3,1,23,115
Columbia,Seminole,0,17,1,23,117
Columbia,Sumter,16,5,1,23,119
Columbia,Suwannee,665,486,1,23,121
Columbia,Taylor,5,34,1,23,123
Columbia,Union,50,115,1,23,125
Columbia,Volusia,0,56,1,23,127
Columbia,Wakulla,21,15,1,23,129
Columbia,Walton,17,13,1,23,131
Columbia,Washington,8,0,1,23,133
Desoto,Alachua,11,0,1,27,1
Desoto,Bradford,21,0,1,27,7
Desoto,Brevard,3,6,1,27,9
Desoto,Broward,114,94,1,27,11
Desoto,Charlotte,130,355,1,27,15
Desoto,Clay,23,0,1,27,19
Desoto,Collier,0,28,1,27,21
Desoto,Columbia,32,38,1,27,23
Desoto,Dixie,0,10,1,27,29
Desoto,Duval,0,2,1,27,31
Desoto,Escambia,0,18,1,27,33
Desoto,Franklin,19,0,1,27,37
Desoto,Gilchrist,15,0,1,27,41
Desoto,Glades,4,66,1,27,43
Desoto,Gulf,3,12,1,27,45
Desoto,Hamilton,15,19,1,27,47
Desoto,Hardee,197,150,1,27,49
Desoto,Hendry,15,44,1,27,51
Desoto,Highlands,56,77,1,27,55
Desoto,Hillsborough,86,74,1,27,57
Desoto,Holmes,8,0,1,27,59
Desoto,Indian River,0,22,1,27,61
Desoto,Jackson,17,19,1,27,63
Desoto,Lake,48,0,1,27,69
Desoto,Lee,11,125,1,27,71
Desoto,Leon,0,4,1,27,73
Desoto,Levy,0,28,1,27,75
Desoto,Madison,22,0,1,27,79
